N° PARC;Immatriculation;Alias;Priorité;Nb Places Assises;Nb Places Debout;Type du car;Couleur;Luxe?;Super Luxe?;Centre;Conducteur Habituel;Date Entrée;Date mise en circulation;Date Sortie;N° Attestation Aménagement;N° Carte Grise;Siège guide?;Famille de car;Tel du car;Sous-traitant?;N° d'autorisation circulation;Secteur Géographique;Observations;Sous-traitant AbcCar?;Lieu Stationnement;Equipé de ceinture?;Présent dans Plan de charge?;Soumis au SAE?;Equipé d'un tachy numérique?;Stockage Photo;CAPLIS;DKV;Total;Visu au planning?;Norme Euro;N° série;Marque;Modèle;Type;Réservoir;Début de garantie;Durée garantie (mois);Fin de garantie;Compteur à l'achat;Compteur kilométrique;Documents associés;CLIM;ETHY;EXTINCTEURS;LIMITEUR;MINES;SACEM;TACHY;VIDÉO;CONDITION GARANTIE;CONDITION GARANTIE (Remarque);ELEC;UFR;USB;WC
232;ER-232-JJ;;4;53;0;SCANIA;;N;N;LRF;;30/10/2017;19/10/2017;;;;O;AUTOCARS;;N;;FLIXBUS;;N;;O;0;N;O;;;;;1;Euro 6;;;;SCANIA;0;;0;;0;0;;;19/10/2018;;19/10/2018;19/04/2018;;19/10/2019;;;;;;;
260;ER-260-MQ;;7;57;0;IVECO CROSSWAY;;N;N;ACY;BARTHELEMY PHILLIPPE;03/11/2017;25/10/2017;;;;N;AUTOCARS;;N;;RUMILLY;;N;;O;1;N;O;;;;;1;Euro 6;VNE6036N70M032509;;;IVECO CROSSWAY;0;;0;;0;0;;;04/10/2018;;09/10/2018;25/04/2018;;19/10/2019;;;;;;;
268;EJ-268-ES;;7;57;0;MAGELYS;;N;N;ACY;COEFFE JEAN MARC;01/09/2017;;;;;O;AUTOCARS;06.18.57.43.95.;N;;;;N;;O;1;N;O;;;;;1;Euro 6;;;;MAGELYS;0;;0;;0;0;;;29/05/2018;;07/07/2018;15/07/2018;;30/08/2019;;;;;;;
302;EJ-302-AS;;3;59;0;MERCEDES TOURISMO;;N;N;LRF;PEREZ JEAN FRANCOIS;05/01/2017;02/01/2017;;;;O;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;;;;MERCEDES TOURISMO;0;;0;;0;0;;;24/11/2018;;24/11/2018;02/07/2018;;25/11/2018;;;;;;;
303;ER-303-HQ;;3;57;0;IVECO CROSSWAY;;N;N;LRF;;26/10/2017;18/10/2017;;;;N;MINIBUS;;N;;CLUSES;;N;;O;0;N;O;;;;;1;Euro 6;VNE6036N50M032461;;;IVECO CROSSWAY;0;;0;;0;0;;;29/09/2018;;04/10/2018;18/10/2018;;19/10/2019;;;;;;;
304;EJ-304-AS;;2;53;0;MERCEDES TOURISMO;;N;N;LRF;JAVELLE PATRICK;05/01/2017;02/01/2017;;;;O;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB 63243113276020;;;MERCEDES TOURISMO;0;;0;;0;0;;;15/12/2018;;15/12/2018;27/06/2018;;15/11/2018;;;;;;;
305;EJ-305-AS;;7;59;0;MERCEDES TOURISMO;;N;N;LRF;ALIBABA HAMED;05/01/2017;02/01/2017;;;;O;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;;;;MERCEDES TOURISMO;0;;0;;0;0;;;06/12/2018;;06/12/2018;05/07/2018;;04/01/2019;;;;;;;
307;EJ-307-AS;;3;41;0;MERCEDES TOURISMO 10M;;N;N;LRF;L HOTELLIER SERGE;02/01/2017;02/01/2017;;;;O;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63246013276075;;;MERCEDES TOURISMO;0;;0;;1600;0;;;22/12/2018;;22/12/2018;26/06/2018;;02/01/2019;;;;;;;
310;EG-310-SF;;3;53;0;MERCEDES TOURISMO;;N;N;LRF;DAQI BOUJEMAA;18/11/2016;15/11/2016;;;;O;MINIBUS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63241013275441;;;MERCEDES TOURISMO;0;;0;;0;0;;;12/10/2018;;12/10/2018;02/05/2018;;15/11/2018;;;;;;;
320;ER-320-NP;;7;63;0;IVECO CROSSWAY;;N;N;ACY;WIART THIERRY;10/11/2017;26/10/2017;;;;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;VNE6037NX0M032521;;;IVECO CROSSWAY;0;;0;;0;0;;;05/10/2018;;06/10/2018;26/04/2018;;26/10/2019;;;;;;;
322;ER-322-VV;;3;63;0;IVECO CROSSWAY UFR;;N;N;LRF;EL HERZI KABIL;20/12/2017;06/11/2017;;;;N;AUTOCARS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;VNE6037N70M032525;;;IVECO CROSSWAY UFR;0;;0;;0;0;;;15/12/2018;;15/12/2018;06/05/2018;;15/12/2019;;;;;;;
324;ER-324-HX;;3;63;0;IVECO CROSSWAY;;N;N;LRF;MECHEGUEG MAHDI;26/10/2017;18/10/2017;;;;N;AUTOCARS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;VNE6037N70M032508;;;IVECO CROSSWAY;0;;0;;0;0;;;03/10/2018;;05/10/2018;18/04/2018;;19/10/2019;;;;;;;
329;EJ-329-XP;;2;61;0;VOLVO 9700;;N;N;LRF;PERICLES SEBASTIEN;10/02/2017;08/02/2017;;;;O;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;YV3T2U822H1183393;;;VOLVO 9700 ;0;;0;;1500;0;;;05/02/2019;;05/02/2019;02/08/2018;;08/02/2019;;;;;;;
331;DX-331-WS;FLIXBUS;4;49;0;MAGELYS PRO;;N;N;LRF;;08/12/2015;03/12/2015;;;2015FG57534;O;;;N;;FLIXBUS;;N;;O;1;N;O;;;;;1;Euro 6;VNE7257R100001372;;;;0;;0;;0;0;;;16/05/2018;;16/05/2018;15/05/2018;;28/11/2019;;;;;;;
337;DF-337-RR;;2;53;0;MERCEDES TOURISMO;;N;N;LRF;PEYAUD JEAN MARC;;13/05/2014;;;2014FH28479;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63241013265982;;;63201DG3AKABGC4I420530002A000;0;;0;;0;0;;;05/05/2018;;05/05/2018;20/05/2018;;09/05/2018;;;;;;;
339;EQ-339-AS;;3;63;0;IVECO CROSSWAY;;N;N;LRF;;01/09/2017;25/08/2017;;;;N;AUTOCARS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;VNE6037N80M029827;;;CROSSWAY;0;25/08/2017;48;;0;0;;;05/02/2019;;05/02/2019;22/08/2018;;28/08/2019;;;;;;;
353;DX-353-XR;;4;49;0;MAGELYS PRO;;N;N;LRF;;04/12/2015;04/12/2015;;;;O;;;N;;FLIXBUS;;N;;O;1;N;O;;;;;1;Euro 6;VNE7257R800001417;;;;0;;0;;0;0;;;14/11/2018;;27/07/2018;22/05/2018;;01/12/2019;;;;;;;
393;DL-393-QB;;2;63;0;IVECO CROSSWAY;;N;N;LRF;BECKMAN;08/12/2014;07/11/2014;;;2014EX34723;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;VNE6037N10M021553;;;CBCW3/003CC1JA5;0;;0;;0;0;;;04/08/2018;;04/08/2018;19/04/2018;;12/08/2018;;;;;;;
394;ER-394-JJ;;4;53;0;SCANIA;;N;N;LRF;;31/10/2017;19/10/2017;;;;N;AUTOCARS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;YS2K4X20001900562;;;SCANIA ;0;;0;;0;0;;;19/10/2018;;19/10/2018;19/04/2018;;20/10/2019;;;;;;;
411;EJ-411-ES;;7;57;0;MAGELYS;;N;N;ACY;ZAKARI SAHNOUN;01/09/2017;;;;;O;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;;;;MAGELYS;0;;0;;0;0;;;30/08/2018;;04/01/2019;17/07/2018;;19/01/2019;;;;;;;
423;DY-423-ST;;21;43;0;MERCEDES TOURISMO;;O;N;LRF;;15/01/2016;07/01/2016;;;2016AB46850;O;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63243113272323;;;;0;;0;;0;0;;;23/11/2018;;23/11/2018;10/05/2018;;23/11/2019;;;;;;;
424;EP-424-YR;;6;57;0;MAGELYS;;N;N;LRF;;01/09/2017;21/08/2017;;;;O;AUTOCARS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;VNE7257R700002073;;;MAGELYS;0;;0;;0;0;;;02/05/2018;;10/05/2018;15/08/2018;;21/08/2019;;;;;;;
448;DY-448-ST;;21;43;0;MERCEDES TOURISMO;;O;N;LRF;ADJAOUD MALIK;14/01/2016;07/01/2016;;;2016AB46851;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63243113272324;;;TOURISMO;0;;0;;0;0;;;02/11/2018;;02/11/2018;02/05/2018;;15/01/2020;;;;;;;
473;DL-473-SY;;2;61;0;IVECO CROSSWAY;;N;N;LRF;GAUDIN CEDRIC;08/12/2014;14/11/2014;;;;N;AUTOCARS;;N;2014EZ93722;;;N;;O;1;N;O;;;;;1;Euro 6;VNE6037N00M021561;;;CBCW3/003CC1JA5;0;;0;;0;0;;;18/09/2018;;04/09/2018;08/06/2018;;29/11/2018;;;;;;;
485;EP-485-YR;;2;53;0;MAGELYS;;N;N;LRF;;01/09/2017;21/08/2017;;;;O;AUTOCARS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;VNE7257R000002075;;;MAGELYS;0;;0;;0;0;;;23/03/2018;;09/05/2018;13/08/2018;;21/08/2018;;;;;;;
507;EF-507-VK;;5;63;0;IVECO CROSSWAY;;N;N;LRF;LEUCHI STEPHANE;13/10/2016;05/10/2016;;;;N;AUTOCARS;;N;;SAINT JULIEN EN GENEVOIS;;N;;O;1;N;O;;;;;1;Euro 6;VNE6037N00M028140;;;CROSSWAY;0;;0;;1484;0;;;29/09/2018;;29/09/2018;02/04/2018;;11/10/2018;;;;;;;
510;EJ-510-ES;;7;57;0;MAGELYS;;N;N;ACY;ZAOUIA;01/09/2017;;;;;O;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;;;;MAGELYS;0;;0;;0;0;;;30/08/2018;;26/06/2018;04/07/2018;;30/08/2020;;;;;;;
516;DL-516-PY;;2;63;0;IVECO CROSSWAY;;N;N;LRF;PEGUET ROGER;08/12/2014;07/11/2014;;;2014EX34718;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;VNE6037N80M021548;;;CBCW3/003CC1JA5;0;;0;;0;0;;;31/07/2018;;31/07/2018;23/04/2018;;21/11/2018;;;;;;;
519;EQ-519-AS;;7;63;0;IVECO CROSSWAY;;N;N;ACY;PERNA ANTONIO;01/09/2017;25/08/2017;;;;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;VNE6037N80M029830;;;CROSSWAY;0;25/08/2017;48;;0;0;;;06/02/2019;;06/02/2019;23/08/2018;;28/08/2019;;;;;;;
522;EF-522-WW;;5;63;0;IVECO CROSSWAY;;N;N;LRF;DIALLO ALIOU;13/10/2016;07/10/2016;;;;N;AUTOCARS;;N;;SAINT JULIEN EN GENEVOIS;;N;;O;1;N;O;;;;;1;Euro 6;VNE6037NXOMO28128;;;IVECO CROSSWAY;0;;0;;1454;0;;;02/10/2018;;02/10/2018;06/04/2018;;11/10/2018;;;;;;;
526;DM-526-EF;;2;57;0;MERCEDES TOURISMO;;N;N;LRF;;03/12/2014;01/12/2014;;;2014FE95753;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63243113268387;;;63201DH2AKABGE4I420570102A000;0;;0;;0;0;;;25/10/2018;;25/10/2018;30/05/2018;;13/01/2019;;;;;;;
536;DM-536-EF;;4;53;0;MERCEDES TOURISMO;;N;N;LRF;;;01/12/2014;;;2014FE95755;N;AUTOCARS;;N;;FLIXBUS;;N;;O;1;N;O;;;;;1;Euro 6;WEB63243113268397;;;63201DH2AKABGE4I420570102A000;0;;0;;0;0;;;24/10/2018;;24/10/2018;24/04/2018;;25/10/2018;;;;;;;
541;DM-541-EF;;4;57;0;MERCEDES TOURISMO;;N;N;LRF;LAANAYA ABDEL;;01/12/2014;;;2014FE95756;N;AUTOCARS;;N;;FLIXBUS;;N;;O;1;N;O;;;;;1;Euro 6;WEB63243113268391;;;63201DH2AKABGE4I420570102A000;0;;0;;0;0;;;19/09/2018;;19/09/2018;20/03/2018;;21/09/2018;;;;;;;
546;DM-546-EF;;2;57;0;MERCEDES TOURISMO;;N;N;LRF;BONZI ELLIOTH;;01/12/2014;;;2014FE95757;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63243113268399;;;63201DH2AKABGE4I420570102A000;0;;0;;0;0;;;23/10/2018;;23/10/2018;23/05/2018;;08/03/2018;;;;;;;
552;DM-552-EF;;2;59;0;MERCEDES TOURISMO;;N;N;LRF;CHAPUIS VIOLAINE;;01/12/2014;;;2014FE95758;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63243113268402;;;63201DH2AKABGE4I420590102A000;0;;0;;0;0;;;03/08/2018;;27/10/2018;03/05/2018;;27/10/2018;;;;;;;
566;ER-566-HD;;3;57;0;IVECO CROSSWAY;;N;N;LRF;BERDAL AHSENE;26/10/2017;17/10/2017;;;;N;AUTOCARS;;N;;SAINT JULIEN - DEPOT;;N;;O;0;N;O;;;;;1;Euro 6;VNE6036N10M032456;;;IVECO CROSSWAY;0;;0;;0;0;;;29/09/2018;;04/10/2018;17/04/2018;;19/10/2019;;;;;;;
569;DM-569-EF;;4;57;0;MERCEDES TOURISMO;;N;N;LRF;;;01/12/2014;;;2014FE95759;N;AUTOCARS;;N;;FLIXBUS;;N;;O;1;N;O;;;;;1;Euro 6;WEB63243113269393;;;63201DH2AKABGE4I420570102A000;0;;0;;0;0;;;12/09/2018;;12/09/2018;21/04/2018;;30/11/2018;;;;;;;
571;DM-571-EF;;2;59;0;MERCEDES TOURISMO;;N;N;LRF;MAGHIAR CIPRIAN;;01/12/2014;;;2014FE95760;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63243113268401;;;63201DH2AKABGE4I420590102A000;0;;0;;0;0;;;31/10/2018;;31/10/2018;16/05/2018;;02/11/2018;;;;;;;
578;DM-578-EF;;4;57;0;MERCEDES TOURISMO;;N;N;LRF;;;01/12/2014;;;2014FE95761;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63243113268389;;;63201DH2AKABGE4I420570102A000;0;;0;;0;0;;;18/09/2018;;18/09/2018;02/08/2018;;20/09/2018;;;;;;;
579;ER-579-HX;;3;63;0;IVECO CROSSWAY;;N;N;LRF;AIT BRAHIM MOHAMED;26/10/2017;18/10/2017;;;;N;AUTOCARS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;VNE6037N50M032488;;;IVECO CROSSWAY;0;;0;;0;0;;;03/10/2018;;05/10/2018;18/04/2018;;19/10/2019;;;;;;;
581;DM-581-EF;;2;57;0;MERCEDES TOURISMO;;N;N;LRF;LAHIOUEL ALI;;01/12/2014;;;2014FE95762;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;WEB63243113268394;;;63201DH2AKABGE4I420570102A000;0;;0;;0;0;;;27/10/2018;;27/10/2018;22/06/2018;;27/10/2018;;;;;;;
583;ES-583-AJ;;7;57;0;IVECO CROSSWAY;;N;N;ACY;MORALES CARMEN;06/12/2017;15/11/2017;;;;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;VNE6036N90M032477;;;IVECO CROSSWAY;0;;0;;0;0;;;03/10/2018;;10/10/2018;15/05/2018;;15/11/2019;;;;;;;
585;ER-585-ES;;3;22;0;IVECO DAILY;;N;N;LRF;CHEBEL AZDINE;03/11/2017;12/10/2017;;;;N;MINIBUS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;ZCFK161D005156240;;;IVECO DAILY;0;;0;;0;0;;;27/10/2018;;12/10/2018;12/04/2018;;12/10/2019;;;;;;;
620;EJ-620-XP;;2;61;0;VOLVO 9700;;N;N;LRF;GRESSET THIBAULT;10/02/2017;08/02/2017;;;;O;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;YV3T2U822H1183394;;;VOLVO 9700;0;;0;;1500;0;;;08/02/2019;;08/02/2019;31/07/2018;;08/02/2019;;;;;;;
621;EP-621-YR;;7;53;0;MAGELYS;;N;N;ACY;MUSIC MUSTAFA;01/09/2017;21/08/2017;;;;O;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;VNE7257R600002128;;;MAGELYS ;0;;0;;0;0;;;06/07/2018;;29/06/2018;14/08/2018;;21/08/2019;;;;;;;
631;DL-631-PY;;2;63;0;IVECO CROSSWAY;;N;N;LRF;PLAINDOUX CLAUDE;08/12/2014;07/11/2014;;;2014EX34719;N;AUTOCARS;;N;;;;N;;O;1;N;O;;;;;1;Euro 6;VNE6037N60M021550;;;CBCW3/003CCAJA5;0;;0;;0;0;;;26/06/2018;;26/06/2018;29/03/2018;;24/11/2018;;;;;;;
638;EG-638-RE;;4;57;0;MERCEDES TOURISMO RHD-L;;O;N;LRF;;21/11/2016;10/11/2016;;;;O;AUTOCARS;;N;;FLIXBUS;;N;;O;1;N;O;;;;;1;Euro 6;WEB63245113273750;;;MERCEDES TOURISMO RHD-L;0;;0;;2426;0;;;09/11/2018;;09/11/2018;09/05/2018;;10/11/2018;;;;;;;
647;ER-647-MQ;;5;63;0;IVECO CROSSWAY;;N;N;LRF;BOUDJEKADA ALI;03/11/2017;25/10/2017;;;;N;AUTOCARS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;VNE6037NX0M032504;;;IVECO CROSSWAY;0;;0;;0;0;;;03/10/2018;;06/10/2018;25/04/2018;;26/10/2019;;;;;;;
678;EP-678-YR;;3;57;0;MAGELYS;;N;N;LRF;;01/09/2017;21/08/2017;;;;O;AUTOCARS;;N;;;;N;;O;0;N;O;;;;;1;Euro 6;VNE7257R400002130;;;MAGELYS;0;;0;;0;0;;;05/07/2018;;30/06/2018;15/08/2018;;21/08/2019;;;;;;;
